
R1= 2,3,5,4,7,8,9,1,13,12,5,6,10,8,11,13,3,12,1,4,3,6,10,12,11,13,2,4,5,7,8,3,11,10,12,9,13,8,6,4,2,5,10,1,12,13
R2= 2,3,5,4,7,8,9,1,13,12,5,6,10,8,11,13,3,12,1,4,3,6,10,12,11,13,2,4,5,7,8,3,11,10,12,9,13,8,6,4,2,5,10,1,12,13
R3= 2,3,5,4,7,8,9,1,13,12,5,6,10,8,11,13,3,12,1,4,3,6,10,12,11,13,2,4,5,7,8,3,11,10,12,9,13,8,6,4,2,5,10,1,12,13
R4= 2,3,5,4,7,8,9,1,13,12,5,6,10,8,11,13,3,12,1,4,3,6,10,12,11,13,2,4,5,7,8,3,11,10,12,9,13,8,6,4,2,5,10,1,12,13
R5= 2,3,5,4,7,8,9,1,13,12,5,6,10,8,11,13,3,12,1,4,3,6,10,12,11,13,2,4,5,7,8,3,11,10,12,9,13,8,6,4,2,5,10,1,12,13



R1= 2,3,5,4,7,8,9,1,13,12,5,6,10,8,11,13,3,12,1,4,3,6,10,12,11,13,2,4,5,7,8,3,11,10,12,9,13,8,6,4,2,5,10,1,12,13
R2= 2,3,5,4,7,8,9,1,13,12,5,6,10,8,11,13,3,12,1,4,3,6,10,12,11,13,2,4,5,7,8,3,11,10,12,9,13,8,6,4,2,5,10,1,12,13
R3= 2,3,5,4,7,8,9,1,13,12,5,6,10,8,11,13,3,12,1,4,3,6,10,12,11,13,2,4,5,7,8,3,11,10,12,9,13,8,6,4,2,5,10,1,12,13
R4= 2,3,5,4,7,8,9,1,13,12,5,6,10,8,11,13,3,12,1,4,3,6,10,12,11,13,2,4,5,7,8,3,11,10,12,9,13,8,6,4,2,5,10,1,12,13
R5= 2,3,5,4,7,8,9,1,13,12,5,6,10,8,11,13,3,12,1,4,3,6,10,12,11,13,2,4,5,7,8,3,11,10,12,9,13,8,6,4,2,5,10,1,12,13
